Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_1024,-0.31140509949092005,1.6169238473487135,-0.505757343523758,2.725509616567772,0.4920842181825856,3.5044948050332936,,,0.49070702552243817,3.223036459856931,0.4909143126500016,1.729247350667765,0.5675660473404394,4.3867325662482015,,,0.379131781614035,1.9317078158297085,,,-0.7065297172252523,2.297497596790877,,,,,0.39168893340856625,4.332899241046738,,
PP_1444,-0.6909190557775227,2.875827042732719,-0.23065983734805048,1.4760829641510218,0.5023797033312822,3.977055192607771,,,-0.8236055874274987,1.5179107121012663,,,-1.6068032164827926,3.1346259403292938,0.9263373247115713,10.164617709281528,,,,,-1.2149113463399221,2.368585853422504,,,,,,,,
PP_3376,-0.23461326116215606,1.6796675616316208,-1.0963693163774986,7.983912632005593,-0.8368354834102661,7.202242373647301,0.4792214600957655,4.353197537060596,-0.4545122667683381,5.204654646485235,-0.31108992365827254,1.9170279869922466,-1.2636616373323446,11.141411940390906,-0.6959675570832742,2.6661428358645605,-0.5327266559997417,3.699774805535435,-2.1147452212567854,5.202476394536475,-1.206675471458971,5.750918599812505,,,,,-1.482890723922817,12.140725485753002,-0.2570842115631249,2.67651412632721
PP_3378,-0.7471930148649272,3.286864936243689,-1.5809894954828838,2.6124343904384713,-0.39002697740067854,1.4766100388408567,0.5029113098938567,3.070770010157009,-0.8991451532679263,4.2668903148895065,-0.6975480357028254,7.413424871368309,-1.5009150640776485,7.0369082452929455,-1.035894991906132,2.8733436972255264,-0.43144511575838423,5.527204865744418,-2.81736856273866,4.360464165764996,,,0.2852469677272843,1.636597543328466,-0.6006616447572937,3.276664767341381,-2.5078455894965233,13.419371193880135,-0.21027259712434068,2.353737873820596
PP_4701,-2.034183848179504,2.4620494978959147,-1.9180090353579606,2.2304136922636113,1.2168701708171168,4.574267843085737,,,,,,,,,,,,,,,-2.224520462454716,2.560719656860592,,,,,,,,
PP_4960,-0.15395970524012306,1.852432326018703,,,-0.15544122551881984,1.5878412226452996,0.2648803595309318,4.705849916874053,0.32853353493291143,2.120679520371242,0.38708404252108736,2.6351449928901904,0.3765310495334043,3.1034750315783635,,,0.2453046482765657,2.047384617103341,0.2590169254595931,2.3319021364423924,,,0.2818177492552428,3.4473030207046627,0.716476755070133,1.5005576117881938,0.7215595622790084,3.8988206465565427,0.7287763275848035,2.5411569703197325
PP_5056,-0.22018572230398786,1.4858731207803546,-0.1490758913353101,1.965020851660533,,,0.1812227274001187,4.723476820703126,,,0.22612383495035124,2.2260273559542707,,,,,0.17212551267217624,1.3243668790733665,,,,,,,0.6140494628239823,2.1099060375984307,0.4427600019666881,3.5034495959211776,0.31320859085405284,2.096456660289731
PP_1009,,,-0.7528183926667199,5.397051008749187,-0.25260449111907385,2.3614645692216603,,,,,,,0.1820889333148898,1.4680721701185242,-0.5497376354752588,1.9010889436278342,-0.45006620368513556,4.34845629221404,-1.078029827037811,8.55986812772411,,,,,,,-0.6485139895241477,5.5459752341793855,-0.43272594642258166,4.163083581390849
PP_1010,,,-0.2722691904122729,3.6912679748522628,,,,,-0.15229567938701777,2.2081179703068243,-0.14036224192770452,2.9425753737880744,,,,,-0.3730211328370054,1.344678177940295,,,,,-0.17237246393676203,1.7833745539617916,,,,,,
PP_1612,,,-0.2910032076956797,3.0113324789003713,,,,,0.2661715175081637,2.5709686918952053,,,0.1387395128938992,3.4388582509038157,,,,,,,,,0.44966665976733844,2.442597854817305,0.23458603593161767,1.8162963284436402,,,,
PP_2052,,,-0.9030468755433023,1.8692903781910137,,,-1.6665469677321563,1.6307401201011125,,,,,,,-0.41486425136961785,1.5827396881013378,-1.3936067207971718,3.658248602681925,-1.0914475973019235,3.248934550642496,,,-1.7475231043033734,2.12485986366475,-1.908766651233139,4.8040635785391075,-0.6799267613591203,2.174198863006168,-0.7091120515645748,1.80680463677163
PP_2149,,,0.22325022700182845,2.917955351773948,,,0.33383026555584044,6.5463842325054555,0.5695884876193794,1.604164708082899,0.5914863579685893,1.3678542891229266,0.6944601577603031,12.554646231578351,0.6221769867715453,2.0921398350894687,,,,,0.22054831357098836,2.9844052266734553,0.38693947944050755,2.23414132072437,0.31645606370621715,1.9204409102543816,0.8520510467534468,3.0724225710343136,0.4682314674770822,4.268659227329006
PP_3416,,,-0.722960236329752,2.8421145726174064,0.19118959029659358,1.658540036803673,,,-0.2662368495313465,2.079136764077981,-0.3730889089134534,3.515195099593315,,,-0.9319866262224052,7.575471528201363,,,-0.47643561855872546,2.0602537046153326,0.5855743546810476,4.228785911731866,,,0.46299261829398153,3.4326670182235537,-0.8016922541840159,5.525304899576587,-0.5523619643352602,4.53303770677171
PP_4963,,,0.2761282563883164,3.2992848206365126,-0.16109911164136756,1.8518639801121553,,,,,,,,,0.425570720275035,1.880509501639376,,,,,,,0.15459261194657406,1.4014720624468875,,,0.5809758504814494,1.3493720724982436,0.6590877018788978,1.6862208455063643
PP_5040,,,-0.2143681236984084,2.0181498735921752,-0.2545288513367265,1.7174982938439614,-0.2189694324246251,6.6808940026712635,-0.31368684947543557,3.49426089174936,-0.2777838342835461,7.622597562612038,-0.5126675855388799,5.545633545928014,,,-0.4611308388381595,5.861018692320218,-0.3029094646233764,2.5181274806086247,-0.23676651977405994,2.1023990692625536,,,,,,,0.1384141480023175,1.6169114533141717
PP_5150,,,0.17472893964935976,1.7667395746600423,-0.305413297900429,5.9939647784281505,,,-0.5202867879924155,5.240435754330806,,,,,,,,,-0.4242170989521378,1.4245003029308316,,,,,,,,,,
PP_5351,,,1.150998447012036,4.258970512562068,1.387071228037909,1.4338585335363245,,,,,,,,,,,,,,,,,,,,,,,,
PP_0415,,,,,-0.366499253495113,4.981106748230449,-0.3336707411964756,1.59308826306097,0.21349690379615593,2.7674031309454783,,,,,,,,,-0.1922337851763197,1.829820100480577,,,,,,,0.3065028349171298,2.6657418992862394,,
PP_1022,,,,,0.16828624482978463,2.1261292521309505,,,,,,,,,,,,,,,,,,,,,,,,
PP_1023,,,,,0.2358274133579397,3.2098653279601224,,,,,0.32531577220439634,1.9159812548146709,0.3869843847234861,2.7820029131869393,0.4490691015727272,3.7061460175744156,,,0.5931462605756302,1.9323586934495929,-0.4099724622782929,4.489745397280029,,,,,0.6920704701934556,4.920359187729112,,
PP_1362,,,,,-0.2058649913994275,1.3962069931445134,-0.22013857338481654,2.9860529221654852,-0.32619403890038307,1.9150624587271634,-0.37289460635995825,1.9667300115548898,,,,,,,,,,,-0.24518228254564026,1.6453676152263197,,,,,,
PP_3384,,,,,-0.32315835200326176,2.2650205334274087,,,,,,,-1.4860157947205823,2.7207589550150324,,,,,-1.1007551896431493,1.567385949050805,,,,,,,,,,
PP_3443,,,,,0.5123555179979572,5.612968631898593,,,,,-0.29639965439192334,1.9251581666364086,,,0.2919286882901121,2.2785149757624272,0.2776615476266954,1.431730402343047,,,,,,,,,0.534344372057523,2.3858966677528337,,
PP_4715,,,,,-0.2308643957340239,3.1056366411138594,,,,,,,,,,,,,,,,,,,,,,,,
PP_1011,,,,,,,-0.21485091264598385,1.7249297370838306,,,,,-0.2174639692391971,2.403796120337377,,,-0.35941161694891066,3.4553607036259346,,,,,,,,,,,-0.1983742974798458,1.4119704823185595
PP_3383,,,,,,,0.24423977812756117,3.292215941913275,,,,,-1.4831491900397573,1.7839532412217367,0.7705288967058596,1.3714633006150665,,,,,,,,,,,0.343319047604699,1.5390786821042568,,
PP_4965,,,,,,,,,,,0.2655553426929285,3.0840128290544477,,,,,,,,,,,0.17906517624354926,1.4286724274207894,,,,,,
PP_3382,,,,,,,,,,,,,-0.9447072101271392,2.473274849755447,0.5211499218918043,1.8252535956893279,,,,,,,0.21532737122722276,2.7487957770116256,,,,,,
