Protein,Spearman_Correlation,Average_Abundance_Control
Neo,-0.1489463447449231,
Tryp_pig,-0.37454478200922803,
Krt1,0.15868793518588556,
Arga,0.16240962686612745,
Pcaj,,
Dnaa,-0.34598708007747325,
Dnag,,
Dnan,0.14134623380581074,
Rsmg,0.13271090685615994,
Ihfa,0.38955907561269143,
Ihfb,-0.09523809523809526,
Pp_1224,0.17403142040141853,
Adk,0.3385767933400246,
Pal,0.3007167386002017,
Yidc,0.1783216071576633,
Hpf,-0.2631774920926496,
Pp_0002,-0.019168286657715642,
Parb,0.0508942574650528,
Rpll,-0.07585920443582755,
Rpsu,-0.7293849135592364,
Rpon,0.45148658040033846,
Tolb,0.42892856821033787,
Mnme,0.30674567561170024,
Apha,-0.06382440056002299,
Krt10,0.2957776615046408,
Aacc1,0.005943760681760455,
Mvd1,0.5822898898977684,
Krt9,0.17850032666809726,
Krt2,0.17563935552469775,
Alla,0.26852279524852873,
Argb,-0.3210251330764546,
Argc2,0.11348239239499776,
Argd,-0.1823483358891452,
Pp_0396,0.41733063415034966,
Rpsk,-0.7767455753061357,
Seld,0.07940079683043563,
Hisd,0.2985586592800495,
Pp_1352,0.03850588620303688,
Argg,0.6386636238053295,
Argj,0.1907258799166805,
Argh,0.4364865291627285,
Infa,-0.08542678983815247,
Lippks1,,
Ftsz,-0.09905855712746374,
Ef_1364,-0.11239762098794451,
Pp_1157,0.19992394368573194,
Atpe,,
Atpf,0.6012967239101508,
Atph,0.1850370367088053,
Atpa,0.5274794521643977,
Atpg,-0.07898860678332255,
Atpd,0.08173959591669366,
Atpc,0.5023177834242724,
Glmu,-0.1055321973685469,
Glms,0.32450587325378144,
Pp_5400,-0.14285714285714288,
Pp_5395,0.4530154122890592,
Pp_5392,0.6819615525860667,
Pp_5391,0.3462651145836396,
Pp_5388,,
Copa,0.01240680618352831,
Copb,0.11854015659950291,
Pp_5378,0.1872684682885539,
Lpd3,0.06116105711088014,
Pp_5365,-0.1460307734188028,
Pp_5355,,
Pp_5353,0.41499107810397484,
Uvrd,0.16790500384497825,
Zwf-3,0.2293287076043449,
Pp_5350,-0.06870091617575412,
Accc-2,-0.1518210230818613,
Oada,0.0030983882261604342,
Pp_5345,0.37511263630327996,
Pp_5341,0.41537880391104676,
Pp_5340,-0.05298064881079283,
Aspa,0.5741002828525235,
Pure,0.37108660976530355,
Purk,0.05578816940596191,
Pp_5332,0.3240884456862417,
Pp_5331,0.11504912374523159,
Pp_5330,,
Psts,-0.06980731668049454,
Pstb2,,
Phou,-0.10697161054893949,
Pp_5324,0.2924122545496507,
Pp_5322,0.3783311635429219,
Phob,,
Pp_5319,-0.062487475550956184,
Rubb,0.1013245712585764,
Hupa,-0.22134130380189804,
Pp_5311,0.16885751049709755,
Recg,-0.7999999999999999,
Pp_5309,0.24322347575359407,
Exbd,0.5,
Exbb,0.3881945248284084,
Pp_5305,0.0007064412913865549,
Pp_5304,0.34353972010991457,
Pp_5303,0.19907144353080788,
Spot,0.1426874475671164,
Rpoz,-0.06355508712230684,
Pp_5300,,
Gmk,-0.29408382773919306,
Pp_5295,0.16434513048696014,
Rph,0.07691095678759378,
Crc,0.006971373508860976,
Pyre,0.1242487941919226,
Algc,-0.4463838310070658,
Dut,-0.26541050535481475,
Coabc,0.0564807880117622,
Pp_5283,0.11076737908523551,
Rpmb,-0.6870255819034625,
Rpmg,-0.275106406668083,
Pp_5278,0.23804537791936733,
Pp_5274,,
Pp_5273,0.23474131722097663,
Lrp,0.011355244703380276,
Dada2,0.16531346880063288,
Dadx,0.08988486890586664,
Pp_5267,0.0656303775709445,
Xpt,-0.4021417155672265,
Rep,,
Pp_5260,,
Pp_5258,-0.10943474143916716,
Pp_5252,,
Pp_5249,,
Pp_5235,0.39860139860139865,
Pp_5234,0.03330767343122466,
Amtb,0.30074895261228973,
Pp_5232,-0.04966612683836921,
Pp_5231,0.18745248768270628,
Pp_5229,-0.2683677315789102,
Dapf,0.08920161358830218,
Lysa-2,0.30209285205064235,
Cyay,0.1398601398601399,
Rnk,0.2224352485794517,
Elbb,-0.3774413023526195,
Ppk,0.06978439329386607,
Ppx,0.38368602040965405,
Trx-2,0.15104642602532117,
Rho,-0.0760961810278408,
Ubid,-0.29589725599296196,
Pp_5212,-0.05454545454545456,
Pp_5207,,
Pp_5206,0.0016859936719929014,
Pp_5205,,
Pp_5203,,
Pp_5202,0.35480777749497816,
Pp_5201,-0.22766505017571437,
Pepp,-0.3502507383625014,
Ubih,0.3804633663342366,
Ubif,0.17325406368320695,
Pp_5196,0.1666666666666667,
Gcvt,0.19609325840627884,
Gcvh2,0.2920184804795079,
Gcvp2,0.5671304678432358,
Pp_5187,0.21468319423376275,
Arge,0.4223546722837804,
Pp_5184,0.08443107916287183,
Pp_5183,0.057320182183968026,
Pp_5182,-0.03420254677621318,
Potf-2,-0.07591051154093065,
Potf-1,0.1092181849721553,
Potg,0.1177387525940965,
Pp_5175,-1.0,
Pp_5174,-0.5027682008006971,
Cysp,-0.12890839283532135,
Cysa,0.028529551546584462,
Pp_5165,-0.11874244355615737,
Pp_5160,-0.19558939279907267,
Pp_5157,0.25336145192965137,
Pp_5156,0.19406857528598717,
Sera,-0.044720667578561996,
Pp_5154,0.4475680746291696,
Pp_5153,0.3485686754430488,
Pp_5152,,
Rpia,0.3302690309571731,
Ilva-2,0.08598027327595205,
Pp_5147,-0.0014802041973989385,
Rpph,,
Ptsp,0.5337944568416834,
Pp_5144,-0.9999999999999999,
Thya,-0.13268803760881254,
Cada-2,0.051529085351613824,
Pp_5133,0.9999999999999999,
Fola,-0.24219471133435436,
Ilvd,-0.41891045303295593,
Pp_5127,-0.009834963086625256,
Pp_5126,0.10936013522186978,
Mutm,0.1891396930305679,
Coad,0.48605772354658927,
Pp_5120,0.1381061722507083,
Pp_5118,0.06738994391898945,
Pp_5114,-0.32437928064254573,
Pp_5113,0.3150964195529205,
Pp_5112,0.6200953745430927,
Ftsy,0.30046149701394237,
Ftse,0.1732610193956465,
Ftsx,-0.0010073382143898054,
Thig,0.1228334913044443,
Trmb,-0.1193230218596533,
Pp_5101,0.6,
Pp_5100,-0.0744041653700345,
Pp_5099,0.22683738517952454,
Metw,0.12316612064873339,
Metx,0.103531276984716,
Proc-2,-0.05344719690126748,
Pp_5094,0.01354647237119167,
Pp_5090,0.5449872738215478,
Args,0.5030872548485368,
Pria,-0.5,
Maeb,0.6470140045080885,
Pp_5084,0.36870819891309164,
Arok,0.01604966274844179,
Arob,0.2277363782574678,
Pp_5077,-0.2189499793587318,
Gltb,0.020768235124164373,
Gltd,-0.0798091635182378,
Heme,0.25501588491269434,
Pp_5070,0.585499517397121,
Trxc,0.2631081940976933,
Pp_5068,0.11919709670514597,
Pp_5067,-0.32599198022563897,
Nhap2,-0.11207615332512806,
Beta,0.12066441911464804,
Betb,0.20114893858447055,
Pp_5058,0.1835795024000057,
Pp_5057,0.1627779232079287,
Gpmi,0.4792355140290855,
Pp_5055,-0.03651734349614317,
Secb,0.1557615292646399,
Ntrc,0.06816454097552956,
Ntrb,0.03098388226160434,
Glna,-0.25955540323369625,
Thii,0.024857703067169598,
Pp_5044,0.199846040587348,
Glgp,0.4834514493676293,
Fbp,-0.15155496058981197,
Pp_5039,0.10981305833034195,
Hutc,0.34296803248287366,
Huth,-0.11666666666666665,
Pip,0.1202268370050048,
Opgg,-0.15169244862215467,
Opgh,0.2776399151810295,
Pp_5024,-0.21859545113708354,
Pp_5023,0.27303783958034095,
Pp_5022,-0.16491329586828837,
Pp_5020,0.3400481078211076,
Pp_5019,,
Hise,0.10461563727995078,
Hisi,0.09251659868766071,
Pp_5012,0.37872719197590704,
Ubie,0.46463235021330296,
Pp_5008,-0.5,
Pp_5007,0.6883336364913932,
Pp_5002,,
Hslu,-4.1213320350128863e-05,
Hslv,0.01985779541097516,
Pyrc,-0.0900652880105374,
Pyrb,0.15044662717317137,
Pyrr,0.48515524549755856,
Pp_4994,,
Gshb,-0.0032846634977072593,
Pilg,,
Pilh,0.25017354333096736,
Pilj,-0.18170407020631282,
Pp_4988,0.36299976165941567,
Pp_4987,0.26184126357504167,
Pp_4985,0.9999999999999999,
Bioa,0.06976915964197546,
Pp_4983,0.10842668641090554,
Pp_4981,-0.16609044842022788,
Rhle,-0.32888838472544374,
Metf,0.09801467078813592,
Pp_4975,-0.16195314666169466,
Pp_4971,0.0954667607177801,
Pp_4969,0.1994847083354296,
Metk,0.363143210601002,
Tkta,0.30671327671114545,
Epd,0.21878723131395364,
Pgk,0.4130773167397689,
Fda,0.07823430271055096,
Pp_4959,0.6206656542505045,
Pp_4954,0.4091739999715108,
Pp_4953,,
Dbpa,0.03947562183065167,
Pp_4950,0.5545695805604337,
Pp_4949,0.15765239404927164,
Puta,0.24444866996579007,
Putp,,
Rlmj,0.05372982747716012,
Pp_4944,-0.10842567758214183,
Pp_4943,0.2881731368017679,
Pp_4942,,
Pp_4941,,
Pp_4940,0.18481255786549255,
Pp_4939,0.3852513101864605,
Pp_4938,0.13031448482974678,
Pp_4937,0.148258559362282,
Msba,0.05032826249932825,
Hlde,0.20405900821284995,
Pp_4932,-0.1299283558290262,
Pp_4931,0.30521519553736093,
Kdta,0.24112605233209472,
Pp_4923,0.25616408723304024,
Thic,0.10821077501369947,
Pp_4919,0.10445189530186672,
Pp_4916,0.17894628256160067,
Pare,0.2995704192432354,
Parc,0.12621155634439726,
Pp_4911,-0.32155488112985114,
Pp_4910,0.10168097755508812,
Serb,-0.03315377455574969,
Psd,0.1408502389004766,
Rhda-2,0.06294376375440165,
Pp_4906,0.27668764357861775,
Pp_4905,0.42561979131580824,
Pp_4904,-0.11465418073643707,
Rsga,0.2689537723067398,
Orn,-0.06291383754945722,
Nnrd,,
Pp_4898,0.20371902587004853,
Pp_4897,-0.08571428571428573,
Mutl,-0.09261082382714023,
Miaa,0.4530379653312095,
Hfq,0.13773725827605968,
Hflx,0.11811173652060374,
Hflk,0.3888509558357665,
Hflc,0.7946204480084466,
Hisz,0.17098376280259717,
Pura,0.1813896578578189,
Pp_4888,0.39615238453967094,
Pp_4881,0.24998267291600723,
Vacb,-0.01549194113080217,
Rlmb,0.2619960320393935,
Rpsf,-0.5412156645038213,
Rpsr,-0.46827745414780925,
Rpli,-0.6229749304143184,
Dnab,0.11176506909212801,
Pp_4871,,
Pp_4870,-0.20726647137265605,
Nade,0.7119596407152904,
Pncb,0.19755629118003445,
Pp_4867,0.5012139221053491,
Pp_4864,0.17248790447768095,
Pp_4863,-0.1565091477344434,
Pp_4862,0.08369142069798749,
Pp_4860,0.10841907927451806,
Pp_4857,0.09129524464258902,
Pp_4856,-0.42691595583835235,
Pp_4849,0.3,
Cbpa,-0.03419160089547567,
Pp_4846,-0.18926173664899879,
Pp_4845,0.177731832922585,
Pp_4844,0.19335545975309673,
Pp_4842,0.06272441723910722,
Pp_4841,0.06196776452320868,
Oprc,-0.2571428571428572,
Pp_4836,,
Pp_4834,0.20679661397540117,
Cobh,0.35,
Cobi,-0.253735301831367,
Cobj,-0.5,
Pp_4824,0.7,
Purd,-0.018477617512431644,
Purh,-0.2545615664735437,
Pp_4819,0.42325081402261466,
Prma,-0.021375455306642317,
Pp_4817,0.3925363139832808,
Pp_4814,,
Proa,0.5514215812887078,
Nadd,0.07746670967243986,
Rsfs,-0.03857285784860584,
Rlmh,0.9999999999999999,
Mltb,0.39473365470022864,
Daca,-0.2844117187366819,
Pp_4802,-0.15169503729960992,
Lipb,0.11642378218089418,
Lipa,-0.19909740258363345,
Pp_4799,0.1347957325380152,
Pp_4798,0.45187842500592856,
Hola,-0.28571428571428575,
Lpte,-0.10063871329634252,
Leus,0.14822698497153905,
Lnt,0.3316024441457728,
Pp_4789,0.08893616619762555,
Ybey,0.17276882556139136,
Pp_4787,0.16653836715612333,
Pp_4785,-0.11594258810199416,
Heml,-0.039367574381966294,
Thie,0.22665711236691882,
Thid,0.4750214520232847,
Pp_4780,0.5428571428571429,
Amn,-0.18618070634852135,
Pp_4776,-0.34132549360410286,
Pp_4775,-0.11666666666666665,
Hrpb,0.24237021756856514,
Pp_4770,-0.46861294111585367,
Pp_4769,,
Pp_4766,-0.04144734443649216,
Tesb,0.22658216465479378,
Pp_4760,0.3732478416477236,
Pp_4748,0.3571428571428572,
Hsds,0.13151518930152784,
Hsdm,0.22926526483613383,
Hsdr,0.23830528051160427,
Pp_4738,-0.7142857142857143,
Smpb,-0.19362789545737194,
Omla,0.17970651711730518,
Fur,-0.07769319719140828,
Recn,-0.07855893463642576,
Grpe,0.14682666874600628,
Dnak,0.31739548834598735,
Dnaj,0.023527185921694022,
Dapb,-0.14973548616299096,
Cara,0.4873985614575257,
Carb,0.5064803287796354,
Grea,0.35931723383288594,
Pp_4720,-0.23770936004328427,
Rlme,0.1184158102652057,
Ftsh,0.07093968128817868,
Folp,0.43409070691367485,
Glmm,0.1206800953161501,
Tpia,0.28941117549506407,
Rimp,0.2112392393797889,
Nusa,0.12008718550293117,
Infb,0.08250766234140061,
Rbfa,-0.3501257639484493,
Rpso,-0.2679418455917617,
Pnp,0.09713604939976737,
Pp_4707,-0.34279597019692537,
Pp_4704,0.5203220325624567,
Acsa2,-0.27816052148722,
Pgi2,-0.08391608391608392,
Panc,0.14030867046735346,
Panb,0.2731465044778154,
Pcnb,0.3962023818532207,
Pp_4696,0.24182009382075273,
Pp_4695,-0.2571428571428572,
Dksa,-0.29991026885425937,
Pp_4692,-0.13671694767721523,
Pp_4689,0.24137977014175185,
Pp_4684,0.6332215921863692,
Mrcb,0.3178761306187728,
Pp_4682,0.12580868413041024,
Ilvb,-0.04027904694008564,
Ilvn,-0.16034159070380247,
Ilvc,-0.6156103910676619,
Yedy,,
Recc,0.24562369981535648,
Recb,0.23298291732646131,
Recd,0.16940459992614104,
Pp_4669,-0.09841964563824333,
Pp_4668,-0.10790778547077942,
Mmsa-2,-0.1463988436860805,
Mmsb,0.16959140824122293,
Pp_4662,,
Ggt-2,-0.30303145289114974,
Mcps,0.4786448872418849,
Pp_4657,-0.05281275605150565,
Pcah,,
Pcag,,
Trma,0.35684189847240716,
Pp_4652,0.4630938610490742,
Cioa,0.5525319335555525,
Rlmg,0.18957051608934444,
Pp_4646,0.26371751019422296,
Mscl,0.041713130319947986,
Rada,-0.43575373286683294,
Pp_4643,0.18787878787878787,
Pp_4642,0.46470580433018,
Csta,-0.157243202477642,
Pp_4639,0.027959395060548946,
Pp_4636,-0.1745367312847855,
Fabv,0.5105726241571289,
Pp_4633,0.10900223508434952,
Pp_4632,-0.33681781667332766,
Mioc,0.0060357435487435026,
Hmga,0.6000000000000001,
Pp_4620,-0.20728469405050642,
Pp_4619,0.03584252413663269,
Pp_4617,,
Pp_4616,0.0014227118417672966,
Pp_4602,,
Pp_4601,0.1647932840849001,
Pp_4594,0.44023326044154254,
Pp_4593,,
Rnd,-0.16367260955308022,
Pp_4589,,
Pp_4588,0.31630114024802153,
Pp_4586,0.5,
Pp_4583,-0.030412534044658573,
Pp_4577,0.21004785188952266,
Pp_4576,0.3939393939393939,
Pp_4575,,
Pp_4573,-0.0702288949832583,
Cysk,0.4499225399300564,
Pp_4570,0.33345483392494024,
Pp_4563,-0.02726537432693711,
Pp_4562,-0.01745706073403543,
Pp_4555,0.14644050562977504,
Pp_4554,0.6900539695981808,
Phaj1,0.2734327609586583,
Fadd2,-0.13147061329422555,
Fadd,0.12083714082025693,
Hrpa,0.30726728152245797,
Pp_4545,0.2676763006754148,
Pp_4543,,
Pp_4542,-0.48333333333333334,
Ppia,0.4181286875751025,
Pp_4539,0.1816968390553591,
Pp_4533,0.2333333333333333,
Pp_4532,0.04027904694008564,
Pp_4528,,
Pp_4521,0.5246003970416898,
Tolc,0.26287307552188166,
Pp_4517,0.2312071991017559,
Recq,-0.16572273669949322,
Pp_4515,0.3296313388596284,
Pp_4508,-0.05767605423557356,
Pp_4506,0.056898267075653486,
Pp_4504,-0.06363636363636364,
Pp_4503,-0.9999999999999999,
Pp_4499,0.23857589341435342,
Pp_4493,0.27509796748017507,
Phhb,,
Pp_4488,0.6,
Acsa1,-0.31414291437062775,
Pp_4486,0.057320182183968026,
Pp_4483,0.177731832922585,
Pp_4482,-0.03571428571428572,
Aruf,0.012393552904641737,
Arug,-0.07727470996634131,
Astd,0.3256644310301607,
Astb,0.13285923047740242,
Pp_4476,,
Aste,-0.07493305198491144,
Alas,0.21385451429726132,
Pp_4473,-0.33651519065614655,
Mgte,0.32893711526074115,
Algz,0.1911413948908249,
Pp_4460,0.25772475455260024,
Pp_4448,0.6116531647223333,
Pp_4447,0.14285714285714288,
Pp_4429,,
Pp_4428,0.10072477061121787,
Lpdv,0.2631857132588227,
Bkdb,-0.18066432751687542,
Bkda2,0.047566220391628874,
Bkda1,0.33047593044359475,
Bkdr,,
Pp_4399,0.2380952380952381,
Ycgr,0.16612835551409497,
Chev-3,-0.013168149961181843,
Cher2,0.2136703228730556,
Flge,-0.14285714285714288,
Flgf,0.16755825354443848,
Flgg,0.04014144960384858,
Flgk,0.10286651547623489,
Flgl,0.23430309120777199,
Pp_4379,0.31342683292954426,
Flic,0.12502669561353127,
Pp_4377,-0.15649040564780353,
Flid,0.31309095568866496,
Flis,0.2545454545454546,
Fleq,0.26408559013990984,
Flif,,
Flii,-0.5357142857142858,
Pp_4364,0.3389724543183785,
Pp_4363,0.33434804902403553,
Pp_4362,0.238122913032883,
Flim,0.07995342945682245,
Flin,0.6993006993006995,
Pp_4345,-0.09613057160392922,
Flhf,-0.025662012250156234,
Flen,0.14562424662954038,
Flia,0.47670557101721495,
Chey,,
Chez,0.08038744716666468,
Chea,0.22164742297902473,
Cheb1,0.5495000102273829,
Mota,0.34574055413598614,
Motb,0.4054647146919429,
Pp_4334,-0.0008798985852138739,
Chew,0.16266538187342278,
Pp_4331,,
Ccme,-0.04260605363178739,
Ccmf,,
Dsbe,-0.08726836564239275,
Pp_4319,0.17556276227981787,
Pp_4316,-0.09904729759878445,
Pp_4315,0.13561665897372302,
Pp_4310,0.3591173875619649,
Pp_4306,,
Pp_4305,0.18745248768270628,
Glxr,0.07500163031873462,
Hyi,0.0942324111459975,
Gcl,0.20519567041703082,
Pp_4295,-0.16340920850190122,
Pp_4293,-0.4177160801024855,
Pp_4289,0.05454545454545456,
Pp_4287,0.03889701398079146,
Pp_4286,0.3315467819958735,
Pp_4285,0.15432519836476016,
Pp_4283,0.4510336065051734,
Gad,-0.2685320792491032,
Xdhb,0.20655333024905104,
Xdha,0.17442174287475862,
Pp_4277,-0.060928400234022045,
Smc,-0.20909090909090913,
Zipa,0.10293120424081845,
Liga,-0.041183915039024487,
Dnax,0.08105670568097671,
Pp_4268,0.07260520110853684,
Apt,0.23388791151876145,
Anr,0.2184363699443106,
Hemn,0.015810290402128575,
Pp_4261,0.39999999999999997,
Pp_4260,0.13243119676628454,
Pp_4259,0.5830761934967057,
Ccop-2,0.10423107339676096,
Ccoo-2,0.22473707080154456,
Ccon-2,0.5167222550924913,
Ccop-1,,
Ccoo-1,0.07142857142857144,
Ccon-1,-0.7999999999999999,
Pp_4249,0.2692307692307692,
Pp_4248,0.02556170286582358,
Pp_4232,,
Pp_4220,,
Pp_4218,,
Fpva,0.23279543015279794,
Pvde,,
Pp_4214,,
Pp_4213,,
Pp_4203,0.38093425166305533,
Pp_4202,0.022463314639663147,
Pp_4201,0.04260283810970597,
Pp_4200,0.6167011383423581,
Pp_4199,0.11461250169528091,
Pp_4198,0.3953470552489486,
Pp_4197,0.19047619047619052,
Glta,-0.38305907932701594,
Sdhc,0.03332495553829016,
Sdhd,-0.37391106993905715,
Sdha,-0.46206595110458465,
Sdhb,-0.06668034232739374,
Kgda,0.01704113524388239,
Kgdb,-0.00464758233924065,
Lpdg,-0.3652268249446125,
Succ,-0.6978604701568742,
Sucd,-0.7072500821989166,
Htpg,0.15166455055528846,
Pp_4178,0.3049701405936093,
Pp_4177,,
Fabb,-0.4182290282476214,
Faba,-0.31495828244710017,
Gpsa,0.11161996234372347,
Sixa,0.3786370766832653,
Pp_4163,0.5709458461016599,
Kdpd,0.11070139070404796,
Kdpe,,
Pp_4151,-0.31680560984074746,
Pp_4150,-0.3342082120743949,
Pp_4148,,
Pp_4147,0.14346234370842503,
Glob,0.22690432143630634,
Pp_4138,-0.20294442881350844,
Nuol,,
Nuoi,0.10520522687120724,
Nuoh,0.0556476377409853,
Nuog,0.028091465854304314,
Nuof,0.23337208301428958,
Nuoe,-0.10851366491375439,
Nuoc,0.20706881512889586,
Nuob,-0.2386552679216894,
Acea,-0.2788268454960537,
Pp_4115,0.49303137841132666,
Fusb,0.25040275726333133,
Pp_4104,0.41757655281861644,
Uvrc,,
Purb,-0.07533935459959297,
Hfld,0.24308745817752134,
Mnma,-0.028470446478486185,
Pp_4013,-0.005436827489130536,
Pp_4012,0.0371806587139252,
Icd,0.24754854116379055,
Cspd,0.5266476888997236,
Clpa,-0.29199215968199094,
Aat,0.1502958741198706,
Ftsk,0.4847955181810446,
Lola,0.2547840247367973,
Pp_4002,0.08344262002727615,
Sers,0.474144732299473,
Cysg,0.4509514705757553,
Pp_3998,-0.9999999999999999,
Pp_3997,-0.06136339383410209,
Pp_3995,,
Dsre,,
Pp_3988,0.350929507113033,
Pp_3968,0.942857142857143,
Nhaa2,0.5818181818181819,
Pp_3957,0.08936281733869361,
Pp_3954,,
Pcai,0.5,
Pp_3950,0.547724076685857,
Nicb,-0.36748400341724874,
Nicr,-0.14818651258334947,
Pp_3931,,
Pp_3927,,
Pp_3926,,
Pp_3924,0.11685126389796714,
Pp_3922,0.2090632153271198,
Pp_3901,-0.24417376496598836,
Pp_3896,,
Pp_3839,0.14097666429029976,
Pp_3835,,
Pp_3834,0.39943459615499133,
Csra,0.42764919043456273,
Pp_3827,-0.01220579589085773,
Pp_3825,0.14457893412396414,
Pp_3823,,
Galu,-0.27203460930244094,
Gor,0.17483848461447152,
Pp_3806,-0.3240839324789856,
Dapf-1,,
Pp_3788,,
Pp_3787,,
Pp_3786,,
Pp_3785,-0.17393131069573456,
Pp_3784,-0.6560381485126154,
Pp_3783,-0.23190841426097938,
Pp_3781,0.9999999999999999,
Proc-1,0.1347339904643425,
Pp_3777,,
Pp_3775,0.6075209964851871,
Pp_3768,0.20608205674577565,
Gloa,0.06385954628278522,
Pp_3765,0.49009803394045914,
Pp_3761,0.31816223546625966,
Cher3,0.8857142857142858,
Pp_3758,0.22531654817313074,
Pp_3757,0.09890109890109891,
Paah,-0.13758607238255544,
Pp_3754,0.41328077354590925,
Pp_3742,0.17610995641751187,
Pp_3738,0.5225694116059386,
Pp_3722,0.04761904761904763,
Pp_3720,,
Cata,,
Pp_3707,0.420374271640356,
Pp_3706,0.16387684524829804,
Pp_3705,0.19808719841841257,
Pp_3699,0.24869735134276533,
Pp_3694,0.11818181818181818,
Pp_3693,-0.1145964472326481,
Pp_3692,,
Pp_3691,0.4647103028532349,
Pp_3680,0.6079338168295917,
Pp_3671,,
Pp_3669,0.3232417450478196,
Katg,0.46817816992653316,
Pssa-1,,
Pp_3662,0.1560350358451453,
Pp_3651,-0.11789063477542962,
Pp_3650,0.1666666666666667,
Pp_3649,0.3611767813145061,
Pp_3644,,
Pp_3638,,
Pp_3631,,
Pp_3629,-0.22458521577684998,
Pp_3627,,
Pp_3623,,
Pp_3622,0.4545454545454546,
Pp_3620,0.2649121933367171,
Pp_3613,,
Pp_3612,0.3813063341153229,
Pp_3611,0.3569607442152969,
Pp_3610,,
Pp_3603,-0.0779252105054577,
Pp_3598,,
Pp_3591,-0.07955283396017493,
Tyrb-2,-0.10689439380253496,
Tpx,-0.022461259590820234,
Pp_3585,0.3062365029200283,
Pp_3578,0.0038729852827005425,
Pp_3569,-0.2317903385472186,
Pp_3563,0.616869133617172,
Pp_3558,-0.01448146778582149,
Pp_3557,0.430151936185653,
Emra,-0.13913752081159086,
Pp_3547,0.4531940834430665,
Pp_3546,0.2549019607843137,
Pp_3530,0.28660091091984014,
Pp_3527,0.09633621990220438,
Pp_3522,,
Hyua,,
Ilve,0.3620360709497781,
Pp_3509,-0.032969510403488334,
Cobw,0.11220185965366845,
Pp_3506,-0.1954451123581306,
Pp_3497,,
Pp_3496,0.23618229893012943,
Acda,0.09273499912505939,
Pp_3491,0.13751173185679577,
Pp_3484,0.1130980742865944,
Pp_3459,,
Pp_3456,,
Pp_3455,-0.1754385964912281,
Pp_3454,,
Pp_3453,,
Ilva-1,,
Pp_3445,0.4506646314484548,
Pp_3443,0.24427743804662916,
Pp_3441,0.29692064753031716,
Pp_3437,,
Pp_3435,-0.5,
Hpd,0.10547498518439259,
Pp_3431,0.6508351765605187,
Pp_3428,0.038683863377751024,
Pp_3421,0.3214285714285715,
Pp_3420,,
Gntp,-0.10224681146329433,
Gnuk,-0.24274739352863062,
Pp_3415,-0.0837408608441714,
Pp_3406,0.250374446829201,
Pp_3404,0.3024567374629282,
Pp_3384,0.14324999823979348,
Pp_3383,0.1581350418502587,
Pp_3382,0.5101337632759964,
Ptxs,-0.17213960910514395,
Pp_3379,0.17893192006076508,
Kguk,-0.6443576186782485,
Kgud,0.12006254376371682,
Pp_3370,-0.3714285714285715,
Pp_3364,0.3564376633576774,
Pp_3361,0.35837756224887535,
Pp_3359,,
Pp_3316,0.34743117380727967,
Pp_3291,,
Pp_3290,0.9999999999999999,
Pp_3289,,
Pp_3288,0.4265188483519516,
Phan,,
Pp_3249,,
Pp_3248,0.1235853209659105,
Pp_3239,,
Pp_3237,0.6,
Pp_3234,0.21117566045132974,
Pp_3232,0.581387732848254,
Pp_3230,,
Pp_3227,0.14212967498082496,
Pp_3213,,
Pp_3212,-0.006178184390270009,
Pp_3211,,
Pp_3209,,
Pp_3192,0.20510046005907698,
Coda,-0.029851450840769764,
Pp_3186,-0.04177873746679183,
Pet18,-0.2073948547165476,
Pp_3174,0.006980297526796612,
